time,wx,wy,wz
2.645748854,0.69,-0.06,0.56
2.648825884,0.69,-0.06,0.56
2.654885054,0.69,0,0.63
2.664597988,0.63,0.11,0.64
2.674537897,0.61,0.2,0.6
2.684654951,0.65,0.16,0.58
2.694629908,0.65,-0.08,0.56
2.704736948,0.56,-0.25,0.48
2.714936972,0.42,-0.35,0.38
2.741019964,0.42,0.08,0.22
2.741875887,0.42,0.08,0.22
2.74556613,0.3,0.43,0.12
2.754587889,0.16,0.55,-0.01
2.764619112,0.08,0.5,-0.1
2.774439096,-0.06,0.33,-0.18
2.784610987,-0.16,0.13,-0.23
2.794579029,-0.14,-0.02,-0.25
2.804960012,-0.02,-0.1,-0.21
2.814864874,0.16,-0.13,-0.09
2.842465162,0.46,-0.38,0.33
2.843293905,0.46,-0.38,0.33
2.845973015,0.38,-0.48,0.43
2.854568958,0.12,-0.41,0.3
2.86451602,-0.17,-0.25,-0.02
2.87436986,-0.26,-0.08,-0.33
2.884587049,-0.37,0.06,-0.45
2.89454484,-0.52,0.09,-0.46
2.904979944,-0.58,0.09,-0.44
2.91516304,-0.57,0.1,-0.44
2.941065073,-0.5,-0.07,-0.49
2.941859007,-0.5,-0.07,-0.49
2.945713997,-0.27,-0.08,-0.42
2.954510927,-0.26,0.01,-0.35
2.964863062,-0.46,0.11,-0.33
2.974390984,-0.74,0.2,-0.41
2.984544039,-0.86,0.25,-0.57
2.994499922,-0.62,0.33,-0.64
3.004623175,-0.59,0.48,-0.6
3.015101194,-0.67,0.39,-0.55
3.041208029,-0.88,-0.15,-0.6
3.04204607,-0.88,-0.15,-0.6
3.045140982,-0.96,-0.46,-0.72
3.054470062,-1.01,-0.81,-0.82
3.064797163,-0.76,-1.06,-0.8
3.074340105,-0.43,-1.02,-0.59
3.08446002,-0.45,-0.49,-0.31
3.094307184,-0.64,0.02,-0.16
3.104565859,-0.95,0.13,-0.22
3.114452124,-1.34,-0.02,-0.52
3.138960123,-1.22,-0.43,-1.29
3.139788866,-1.22,-0.43,-1.29
3.144375086,-0.67,-0.45,-1.29
3.154386997,-0.39,-0.37,-0.86
3.164391041,-0.37,-0.02,-0.28
3.17434001,-0.45,0.23,0.11
3.184463024,-0.83,0.08,0.08
3.194308996,-1.23,-0.25,-0.29
3.204552889,-1.12,-0.53,-0.69
3.21468401,-0.71,-0.61,-0.85
3.238116026,-0.38,-0.65,-0.54
3.238917112,-0.38,-0.65,-0.54
3.24436307,-0.41,-0.65,-0.42
3.254432917,-0.56,-0.63,-0.36
3.26435113,-0.78,-0.53,-0.43
3.274377108,-1.09,-0.46,-0.58
3.284753084,-1.18,-0.37,-0.68
3.294255018,-0.92,-0.33,-0.62
3.304622889,-0.57,-0.11,-0.5
3.33962512,-0.88,-0.14,-0.61
3.340211153,-0.88,-0.14,-0.61
3.341018915,-0.88,-0.14,-0.61
3.345303059,-1.07,-0.28,-0.61
3.354506969,-1.03,-0.36,-0.53
3.364325047,-0.7,-0.08,-0.37
3.374670029,-0.53,0.4,-0.28
3.384395838,-0.56,0.42,-0.25
3.39430213,-0.57,0.16,-0.3
3.404512167,-0.57,-0.15,-0.37
3.439048052,-0.35,-0.07,-0.07
3.439646959,-0.35,-0.07,-0.07
3.440433979,-0.35,-0.07,-0.07
3.444635153,-0.16,0.14,-0.08
3.454409838,-0.07,0.13,-0.14
3.46430707,0.05,-0.07,-0.17
3.47439003,0.2,-0.16,-0.16
3.484322071,0.22,-0.28,-0.08
3.494127989,0.23,-0.42,0.01
3.504377127,0.31,-0.34,0.03
3.514528036,0.36,-0.19,0.06
3.539437056,0.4,0.11,0.23
3.540199995,0.4,0.11,0.23
3.544398069,0.45,0.14,0.36
3.554320097,0.58,0.16,0.41
3.564163923,0.64,0.09,0.42
3.574220896,0.62,-0.01,0.42
3.584184885,0.67,-0.01,0.43
3.594370127,0.71,0.1,0.49
3.604295015,0.72,0.31,0.53
3.61443305,0.69,0.51,0.56
3.639210939,0.83,0.7,0.68
3.64011097,0.83,0.7,0.68
3.644276857,0.94,0.71,0.78
3.654294014,1,0.69,0.83
3.664065123,1.03,0.71,0.81
3.674190044,1.05,0.72,0.75
3.684195042,1.05,0.69,0.69
3.694268942,1.07,0.66,0.68
3.704362154,1.09,0.68,0.74
