time,wx,wy,wz
2.61502409,-0.24,0.05,0.03
2.623035908,-0.24,0.06,0.05
2.634413004,-0.25,0.13,0.04
2.644689083,-0.23,0.12,0.05
2.659389019,-0.24,0.15,0.07
2.674901962,-0.26,0.1,0.01
2.675453186,-0.26,0.1,0.01
2.683496952,-0.28,0.09,-0.04
2.692436218,-0.28,0.13,-0.11
2.702649117,-0.28,0.15,-0.16
2.713215113,-0.29,0.09,-0.22
2.72384119,-0.28,0.04,-0.25
2.733743191,-0.25,0.03,-0.26
2.742891073,-0.25,0.01,-0.27
2.75872612,-0.21,0,-0.23
2.774750233,-0.19,-0.07,-0.19
2.775306225,-0.19,-0.07,-0.19
2.782470226,-0.18,-0.08,-0.17
2.792648077,-0.15,-0.11,-0.14
2.802645206,-0.12,-0.09,-0.12
2.811879158,-0.12,-0.14,-0.12
2.82307291,-0.05,-0.19,-0.1
2.833024025,-0.01,-0.23,-0.11
2.842985153,0,-0.25,-0.12
2.858073235,0,-0.27,-0.1
2.871796131,0.06,-0.24,-0.09
2.873856068,0.06,-0.24,-0.09
2.882086039,0.07,-0.22,-0.12
2.891321182,0.09,-0.2,-0.17
2.901384115,0.09,-0.2,-0.19
2.911933899,0.08,-0.26,-0.24
2.921704054,0.07,-0.24,-0.27
2.932137966,0.06,-0.21,-0.27
2.94076395,0.06,-0.21,-0.28
2.957331181,0.1,-0.21,-0.31
2.971776009,0.15,-0.27,-0.34
2.972193003,0.15,-0.27,-0.34
2.981739044,0.17,-0.26,-0.32
2.990920067,0.15,-0.26,-0.3
3.001678944,0.19,-0.25,-0.27
3.012019157,0.22,-0.24,-0.27
3.020731926,0.33,-0.24,-0.22
3.031455994,0.34,-0.3,-0.19
3.040682077,0.33,-0.3,-0.15
3.057176113,0.29,-0.26,-0.12
3.072621107,0.17,-0.21,-0.19
3.073050976,0.17,-0.21,-0.19
3.080353022,0.24,-0.25,-0.23
3.090312958,0.28,-0.29,-0.26
3.099893093,0.28,-0.29,-0.25
3.110998154,0.21,-0.27,-0.19
3.120362997,0.2,-0.29,-0.14
3.13064909,0.34,-0.23,-0.12
3.140296936,0.24,-0.17,-0.19
3.153949022,0.14,-0.22,-0.21
3.167584896,0.1,-0.26,-0.17
3.170519114,0.16,-0.2,-0.14
3.184464931,0.13,-0.15,-0.14
3.189694881,0.11,-0.09,-0.15
3.200335026,0.1,-0.05,-0.19
3.209788084,0.09,-0.06,-0.24
3.219786167,0.04,-0.15,-0.23
3.229986191,0.05,-0.11,-0.15
3.239496231,0.04,-0.09,-0.05
3.261692047,0.04,0.02,-0.04
3.26213789,0.04,0.02,-0.04
3.269491196,0.01,0.01,-0.07
3.278949022,-0.02,-0.02,-0.05
3.289337158,-0.03,0,0.01
3.299941063,-0.05,-0.01,0.07
3.309384108,-0.04,0.02,0.09
3.32020402,-0.05,0.05,0.06
3.329197884,-0.06,0.1,0.02
3.339147091,-0.1,0.09,0
3.353087902,-0.11,0.12,0
3.365528107,-0.13,0.15,0.01
3.368211031,-0.13,0.17,0
3.384059906,-0.15,0.15,-0.02
3.388458014,-0.14,0.14,-0.04
3.399952888,-0.17,0.13,-0.04
3.408117056,-0.2,0.14,-0.01
3.418580055,-0.22,0.15,0.01
3.428747177,-0.21,0.18,-0.02
3.438415051,-0.19,0.18,-0.06
3.460596085,-0.18,0.14,-0.07
3.461111069,-0.18,0.14,-0.07
3.467624187,-0.18,0.13,-0.02
3.478193998,-0.17,0.16,-0.01
3.48795104,-0.16,0.16,-0.04
3.498262882,-0.14,0.14,-0.08
3.508238077,-0.12,0.11,-0.11
3.51793623,-0.09,0.08,-0.1
3.528888226,-0.08,0.08,-0.06
3.537779093,-0.07,0.1,-0.04
3.562491894,-0.04,0.07,-0.06
3.562972069,-0.04,0.07,-0.06
3.567039967,-0.02,0.04,-0.03
3.577316046,0.01,0.01,0.01
3.587518215,0.06,-0.01,0.06
3.597784996,0.08,0.02,0.07
3.606475115,0.08,0.01,0.08
3.617376089,0.07,-0.03,0.09
3.627675056,0.08,-0.02,0.12
3.637945175,0.1,0.01,0.18
3.660165071,0.09,0.09,0.26
3.660624981,0.09,0.09,0.26
3.667016029,0.07,0.1,0.25
3.676811218,0.05,0.11,0.24
3.686865091,0.02,0.1,0.26
3.697031975,0,0.1,0.26
3.706851959,-0.02,0.18,0.24
3.716816902,-0.03,0.26,0.25
3.728076935,-0.06,0.28,0.28
3.736417055,-0.09,0.28,0.31
3.753053188,-0.14,0.31,0.35
3.765345097,-0.26,0.3,0.46
3.767848969,-0.26,0.3,0.46
3.785593987,-0.27,0.45,0.49
3.78787303,-0.27,0.45,0.49
3.795870066,-0.32,0.42,0.5
3.805955887,-0.36,0.4,0.49
3.816315174,-0.38,0.37,0.48
3.826031208,-0.37,0.42,0.45
3.835967064,-0.38,0.48,0.42
3.861819029,-0.41,0.43,0.36
3.86226511,-0.41,0.43,0.36
3.866474152,-0.4,0.41,0.34
3.875252008,-0.37,0.36,0.35
3.885797977,-0.35,0.29,0.36
3.894582033,-0.35,0.27,0.36
3.9054842,-0.34,0.25,0.38
3.915678024,-0.33,0.26,0.39
3.925495148,-0.29,0.25,0.38
3.935900211,-0.23,0.23,0.35
3.958395958,-0.17,0.23,0.29
3.958857059,-0.17,0.23,0.29
3.965301037,-0.2,0.17,0.27
3.974843025,-0.21,0.15,0.25
3.985105038,-0.19,0.14,0.22
3.995291233,-0.18,0.11,0.19
4.004417896,-0.17,0.07,0.15
4.015021086,-0.16,0.02,0.1
4.024793148,-0.13,-0.01,0.04
4.034765005,-0.06,0.01,-0.05
4.057066917,0.01,0.01,-0.25
4.057507992,0.01,0.01,-0.25
4.064325094,0,-0.03,-0.35
4.074028015,0.03,-0.05,-0.42
4.084981918,0.04,-0.1,-0.46
4.094677925,0.05,-0.15,-0.48
4.104132175,0.11,-0.15,-0.47
4.115518093,0.16,-0.1,-0.43
4.125078201,0.15,-0.14,-0.44
4.135011196,0.19,-0.13,-0.45
4.151006222,0.18,-0.14,-0.46
4.165918112,0.12,-0.22,-0.43
4.166383028,0.12,-0.22,-0.43
4.173341036,0.11,-0.18,-0.37
4.184684038,0.07,-0.23,-0.31
4.192975044,0.07,-0.24,-0.24
4.204048157,0.12,-0.19,-0.27
4.214060068,0.16,-0.07,-0.36
4.223479033,0.13,-0.08,-0.44
4.233623981,0.11,-0.11,-0.43
4.257675171,0.08,-0.22,-0.16
4.258090019,0.08,-0.22,-0.16
4.263041019,0.19,-0.13,-0.09
4.273051023,0.24,0,-0.11
4.283545971,0.1,-0.09,-0.2
4.293057919,0.02,-0.21,-0.2
4.303122997,0.03,-0.15,-0.16
4.313379049,0.09,-0.11,-0.09
4.323318005,0.14,-0.04,-0.06
4.334228039,0.08,-0.02,-0.13
4.349740028,0.03,-0.05,-0.2
4.362139225,-0.02,-0.02,-0.22
4.364612103,-0.02,-0.02,-0.22
4.385165215,0.07,0,-0.01
4.385567188,0.07,0,-0.01
4.39261508,-0.03,0.02,0.05
4.402552128,-0.06,0.02,0.03
4.412434101,-0.03,0.06,-0.05
4.422697067,-0.07,0.05,-0.12
4.432470083,-0.1,0.11,-0.1
4.448345184,-0.11,0.16,-0.03
4.460124016,-0.13,0.18,0
4.462826014,-0.09,0.11,0.03
4.471385956,0,0.16,-0.01
4.48217392,-0.01,0.1,-0.06
4.491601944,-0.04,0.05,-0.02
4.501291037,-0.05,0.04,0.03
4.512032032,-0.04,0.03,0.1
4.521539211,-0.01,0.06,0.1
4.531476021,-0.02,0.06,0.04
4.553738117,-0.05,0.01,-0.02
4.554191113,-0.05,0.01,-0.02
4.560747147,-0.05,0.05,0.02
4.571526051,-0.07,0.09,0.04
4.581716061,-0.06,0.1,0.03
4.590815067,-0.07,0.06,-0.01
4.601257086,-0.08,0.07,-0.05
4.611538887,-0.09,0.1,-0.08
4.620955944,-0.07,0.1,-0.11
4.632968903,-0.05,0.08,-0.1
