time,wx (rad/s),wy (rad/s),wz (rad/s)
4.171,-0.48,-0.2,-0.72
4.175,-0.48,-0.26,-0.75
4.18,-0.49,-0.33,-0.78
4.183,-0.49,-0.41,-0.8
4.187,-0.5,-0.49,-0.84
4.191,-0.49,-0.55,-0.87
4.197,-0.47,-0.58,-0.9
4.2,-0.45,-0.59,-0.93
4.204,-0.42,-0.56,-0.96
4.207,-0.4,-0.5,-0.98
4.211,-0.38,-0.43,-1
4.219,-0.36,-0.29,-1.02
4.221,-0.34,-0.18,-1.03
4.223,-0.34,-0.06,-1.04
4.227,-0.33,0.05,-1.05
4.232,-0.34,0.14,-1.05
4.235,-0.36,0.2,-1.05
4.239,-0.42,0.23,-1.07
4.243,-0.46,0.22,-1.12
4.247,-0.51,0.17,-1.19
4.251,-0.54,0.07,-1.27
4.256,-0.57,-0.12,-1.39
4.259,-0.58,-0.29,-1.46
4.264,-0.57,-0.46,-1.53
4.267,-0.58,-0.61,-1.6
4.272,-0.59,-0.73,-1.67
4.275,-0.59,-0.8,-1.75
4.286,-0.6,-0.79,-1.87
4.288,-0.6,-0.71,-1.94
4.288,-0.6,-0.57,-1.99
4.292,-0.61,-0.41,-2.03
4.31,-0.62,-0.21,-2.06
4.315,-0.63,-0.1,-2.08
4.316,-0.63,-0.05,-2.11
4.316,-0.65,-0.04,-2.15
4.316,-0.67,-0.05,-2.19
4.316,-0.73,-0.08,-2.26
4.319,-0.78,-0.1,-2.33
4.323,-0.83,-0.14,-2.42
4.327,-0.88,-0.18,-2.52
4.332,-0.93,-0.24,-2.61
4.336,-1.02,-0.36,-2.71
4.339,-1.09,-0.48,-2.78
4.343,-1.15,-0.61,-2.85
4.349,-1.21,-0.76,-2.91
4.353,-1.29,-0.93,-2.98
4.355,-1.33,-1.05,-3.02
4.359,-1.37,-1.14,-3.07
4.364,-1.4,-1.21,-3.12
4.367,-1.43,-1.23,-3.16
4.371,-1.43,-1.21,-3.21
4.375,-1.42,-1.14,-3.22
4.38,-1.41,-1.03,-3.2
4.383,-1.38,-0.87,-3.15
4.387,-1.35,-0.68,-3.08
4.391,-1.3,-0.45,-2.95
4.397,-1.24,-0.29,-2.85
4.4,-1.19,-0.16,-2.72
4.403,-1.13,-0.06,-2.56
4.408,-1.05,0.04,-2.35
4.411,-0.99,0.12,-2.21
4.42,-0.94,0.19,-2.09
4.421,-0.88,0.22,-1.98
4.423,-0.81,0.21,-1.87
4.427,-0.72,0.13,-1.73
4.444,-0.65,0.05,-1.6
4.446,-0.58,-0.04,-1.46
4.446,-0.5,-0.11,-1.31
4.447,-0.38,-0.2,-1.08
4.448,-0.29,-0.25,-0.9
4.451,-0.19,-0.26,-0.69
4.455,-0.09,-0.25,-0.46
4.459,0.01,-0.19,-0.19
4.464,0.13,-0.08,0.22
4.468,0.2,0.02,0.53
4.471,0.27,0.13,0.83
4.475,0.34,0.21,1.11
4.48,0.41,0.26,1.35
4.484,0.53,0.27,1.61
4.487,0.62,0.24,1.75
4.491,0.71,0.2,1.87
4.497,0.83,0.12,1.97
4.499,0.93,0.06,2.02
4.503,1.02,0,2.07
4.507,1.12,-0.05,2.12
4.511,1.2,-0.11,2.18
4.516,1.28,-0.16,2.24
4.52,1.37,-0.23,2.33
4.524,1.43,-0.29,2.41
4.527,1.48,-0.35,2.48
4.532,1.51,-0.4,2.56
4.536,1.54,-0.45,2.63
4.539,1.54,-0.48,2.71
4.543,1.53,-0.49,2.76
4.553,1.51,-0.46,2.79
4.554,1.51,-0.39,2.8
4.555,1.53,-0.24,2.78
4.56,1.56,-0.07,2.75
4.583,1.57,0.13,2.7
4.585,1.57,0.42,2.63
4.585,1.56,0.56,2.59
4.585,1.53,0.79,2.53
4.585,1.49,0.92,2.5
4.586,1.47,0.99,2.5
4.587,1.44,0.99,2.5
4.591,1.41,0.95,2.51
4.597,1.41,0.85,2.49
4.6,1.42,0.77,2.43
4.603,1.42,0.69,2.33
4.608,1.42,0.64,2.21
4.611,1.4,0.66,2.08
4.616,1.39,0.72,2.02
4.619,1.39,0.8,1.98
4.623,1.4,0.87,1.95
4.627,1.41,0.91,1.9
4.631,1.42,0.93,1.82
4.635,1.4,0.93,1.73
4.639,1.36,0.91,1.63
4.643,1.3,0.88,1.55
4.647,1.18,0.83,1.49
4.651,1.09,0.75,1.49
4.655,1.02,0.65,1.52
4.659,0.97,0.53,1.55
4.664,0.93,0.42,1.59
4.667,0.86,0.35,1.64
4.671,0.78,0.37,1.66
4.675,0.71,0.44,1.68
4.681,0.65,0.54,1.69
4.683,0.58,0.65,1.69
4.687,0.48,0.76,1.64
4.691,0.39,0.82,1.57
4.703,0.28,0.86,1.48
4.704,0.15,0.86,1.39
4.705,-0.04,0.8,1.31
4.709,-0.15,0.7,1.28
4.712,-0.22,0.55,1.27
4.73,-0.25,0.37,1.29
4.732,-0.25,0.17,1.31
4.732,-0.26,-0.05,1.34
4.732,-0.26,-0.17,1.34
4.737,-0.26,-0.25,1.33
4.738,-0.23,-0.35,1.28
4.751,-0.2,-0.4,1.24
4.752,-0.15,-0.48,1.13
4.752,-0.13,-0.5,1.04
4.753,-0.14,-0.46,0.96
4.756,-0.14,-0.37,0.9
4.759,-0.12,-0.21,0.86
4.764,-0.08,-0.08,0.85
4.767,0,0.04,0.84
4.771,0.11,0.16,0.82
4.775,0.21,0.29,0.78
4.78,0.34,0.48,0.72
4.783,0.42,0.62,0.67
4.787,0.51,0.72,0.62
4.791,0.6,0.77,0.57
4.797,0.67,0.78,0.53
4.799,0.69,0.77,0.48
4.803,0.66,0.74,0.44
4.807,0.62,0.71,0.4
4.811,0.58,0.68,0.37
4.816,0.58,0.61,0.33
4.819,0.64,0.53,0.31
4.823,0.71,0.45,0.28
4.827,0.79,0.36,0.24
4.835,0.83,0.29,0.21
4.837,0.83,0.24,0.14
4.84,0.78,0.21,0.09
4.845,0.72,0.17,0.03
4.855,0.66,0.12,-0.01
4.857,0.62,0.02,-0.06
4.857,0.62,-0.07,-0.07
4.859,0.64,-0.16,-0.09
4.867,0.65,-0.23,-0.09
4.868,0.65,-0.26,-0.1
4.871,0.62,-0.25,-0.12
4.875,0.6,-0.22,-0.13
4.881,0.58,-0.16,-0.12
4.883,0.56,-0.09,-0.1
4.888,0.55,-0.02,-0.06
4.891,0.53,0.07,0.01
4.898,0.52,0.14,0.05
4.899,0.5,0.2,0.08
4.904,0.49,0.26,0.1
4.907,0.47,0.35,0.12
4.911,0.45,0.42,0.13
4.918,0.44,0.49,0.15
4.921,0.41,0.54,0.17
4.923,0.37,0.57,0.19
4.927,0.32,0.57,0.2
4.932,0.29,0.53,0.19
4.935,0.26,0.45,0.17
4.939,0.22,0.36,0.14
4.943,0.18,0.26,0.1
4.947,0.12,0.11,0.06
4.951,0.07,0,0.03
4.955,0.03,-0.1,0.02
4.959,0.01,-0.19,0.01
4.969,-0.02,-0.24,-0.01
4.97,-0.05,-0.24,-0.02
4.971,-0.09,-0.21,-0.04
4.976,-0.12,-0.16,-0.06
4.979,-0.14,-0.08,-0.07
4.991,-0.18,0.02,-0.07
4.992,-0.21,0.09,-0.07
4.993,-0.24,0.14,-0.07
9,-0.27,0.17,-0.07
5.002,-0.3,0.18,-0.08
5.003,-0.36,0.18,-0.08
5.007,-0.4,0.15,-0.08
5.011,-0.45,0.09,-0.08
5.017,-0.48,0.01,-0.07
5.019,-0.5,-0.11,-0.06
5.023,-0.51,-0.2,-0.04
5.027,-0.52,-0.27,-0.03
5.032,-0.53,-0.31,-0.02
5.035,-0.54,-0.32,-0.03
5.039,-0.55,-0.27,-0.04
5.043,-0.57,-0.18,-0.06
5.048,-0.58,-0.06,-0.08
5.051,-0.59,0.07,-0.11
5.055,-0.59,0.21,-0.15
5.059,-0.58,0.29,-0.19
5.064,-0.57,0.34,-0.22
5.067,-0.56,0.35,-0.24
5.074,-0.55,0.34,-0.26
5.075,-0.56,0.3,-0.29
5.081,-0.57,0.25,-0.31
5.084,-0.58,0.18,-0.34
5.087,-0.58,0.1,-0.37
5.091,-0.57,0.04,-0.4
5.098,-0.56,-0.01,-0.44
5.101,-0.55,0,-0.46
5.103,-0.55,0.04,-0.48
5.107,-0.55,0.09,-0.51
5.111,-0.55,0.19,-0.53
5.12,-0.56,0.26,-0.55
5.121,-0.58,0.34,-0.55
5.125,-0.61,0.41,-0.56
5.127,-0.64,0.43,-0.56
5.145,-0.68,0.41,-0.57
5.146,-0.69,0.34,-0.58
5.146,-0.7,0.25,-0.59
5.147,-0.71,0.14,-0.61
5.149,-0.74,0.03,-0.63
5.151,-0.78,-0.13,-0.66
5.155,-0.81,-0.27,-0.68
5.159,-0.83,-0.4,-0.7
5.164,-0.83,-0.51,-0.71
5.167,-0.8,-0.61,-0.74
5.172,-0.78,-0.64,-0.76
5.176,-0.76,-0.63,-0.79
5.181,-0.74,-0.57,-0.81
5.183,-0.72,-0.5,-0.83
5.187,-0.71,-0.37,-0.85
5.191,-0.69,-0.27,-0.87
5.195,-0.68,-0.18,-0.88
5.199,-0.67,-0.12,-0.9
5.203,-0.68,-0.08,-0.94
5.207,-0.68,-0.1,-0.99
5.211,-0.68,-0.15,-1.03
5.216,-0.67,-0.23,-1.06
5.219,-0.67,-0.33,-1.09
5.223,-0.67,-0.46,-1.11
5.227,-0.67,-0.55,-1.13
5.233,-0.67,-0.63,-1.15
5.235,-0.64,-0.69,-1.18
5.239,-0.61,-0.72,-1.22
5.243,-0.56,-0.73,-1.29
5.254,-0.53,-0.7,-1.34
5.256,-0.5,-0.64,-1.39
5.256,-0.47,-0.57,-1.44
5.26,-0.45,-0.49,-1.51
5.278,-0.43,-0.44,-1.54
5.28,-0.41,-0.4,-1.6
5.28,-0.4,-0.41,-1.64
5.281,-0.39,-0.44,-1.72
5.281,-0.38,-0.49,-1.83
5.283,-0.39,-0.51,-1.91
5.287,-0.41,-0.52,-1.97
5.291,-0.44,-0.51,-2.02
5.297,-0.5,-0.47,-2.1
5.299,-0.54,-0.45,-2.16
5.304,-0.59,-0.44,-2.23
5.307,-0.64,-0.43,-2.3
5.311,-0.68,-0.44,-2.36
5.315,-0.75,-0.46,-2.43
5.32,-0.8,-0.49,-2.48
5.323,-0.84,-0.52,-2.53
5.327,-0.87,-0.57,-2.59
5.331,-0.9,-0.63,-2.68
5.336,-0.95,-0.7,-2.8
5.339,-1,-0.73,-2.88
5.343,-1.05,-0.74,-2.94
5.347,-1.09,-0.75,-2.98
5.351,-1.13,-0.76,-3.01
5.355,-1.16,-0.79,-3.04
5.359,-1.16,-0.85,-3.07
5.364,-1.15,-0.91,-3.09
5.368,-1.14,-0.98,-3.12
5.371,-1.13,-1.02,-3.13
5.376,-1.12,-0.99,-3.12
5.38,-1.1,-0.93,-3.09
5.383,-1.06,-0.86,-3.05
5.387,-1,-0.78,-3
5.391,-0.92,-0.68,-2.91
5.395,-0.86,-0.61,-2.81
5.402,-0.8,-0.54,-2.68
5.403,-0.75,-0.47,-2.51
5.408,-0.69,-0.41,-2.33
5.412,-0.6,-0.37,-2.05
5.423,-0.52,-0.35,-1.84
5.425,-0.43,-0.33,-1.64
5.425,-0.34,-0.3,-1.44
5.427,-0.22,-0.25,-1.17
5.432,-0.14,-0.19,-0.94
5.435,-0.06,-0.13,-0.71
5.439,0.02,-0.05,-0.48
5.443,0.11,0.03,-0.27
5.448,0.22,0.13,-0.01
5.451,0.31,0.2,0.18
5.456,0.39,0.27,0.36
5.459,0.46,0.31,0.56
5.464,0.54,0.34,0.83
5.468,0.59,0.34,1.02
5.471,0.64,0.33,1.21
5.475,0.69,0.29,1.38
5.481,0.74,0.24,1.54
5.483,0.81,0.17,1.75
5.487,0.86,0.14,1.89
5.491,0.91,0.13,2.01
5.496,0.96,0.14,2.12
5.499,1.01,0.16,2.21
5.503,1.06,0.21,2.33
5.507,1.1,0.24,2.39
5.511,1.13,0.29,2.44
5.515,1.16,0.34,2.48
5.519,1.21,0.39,2.52
5.523,1.24,0.43,2.53
5.527,1.28,0.46,2.54
5.535,1.31,0.47,2.54
5.536,1.34,0.44,2.54
5.54,1.35,0.39,2.54
5.545,1.35,0.31,2.53
5.555,1.34,0.22,2.49
5.556,1.33,0.13,2.42
5.557,1.32,0.06,2.31
5.559,1.27,0.02,2.13
5.565,1.22,0.04,2.02
5.567,1.15,0.09,1.93
5.572,1.09,0.16,1.88
5.576,1.03,0.26,1.85
5.579,1,0.31,1.83
5.583,0.99,0.35,1.81
5.587,1,0.36,1.8
5.591,1.03,0.36,1.81
5.595,1.08,0.32,1.85
5.599,1.13,0.3,1.9
5.603,1.16,0.28,1.93
5.608,1.17,0.27,1.93
5.611,1.17,0.29,1.89
5.618,1.11,0.33,1.79
5.621,0.97,0.4,1.71
5.623,0.87,0.46,1.69
5.627,0.72,0.55,1.68
5.632,0.54,0.72,1.68
5.635,0.46,0.86,1.66
5.639,0.43,1.01,1.63
5.643,0.44,1.14,1.58
5.649,0.46,1.22,1.53
5.651,0.52,1.23,1.5
5.655,0.59,1.15,1.5
5.659,0.69,0.98,1.48
5.665,0.81,0.74,1.39
5.667,0.98,0.38,1.13
5.671,1.06,0.16,0.87
5.675,1.06,0.02,0.62
5.679,0.97,-0.02,0.47
5.687,0.81,0.01,0.47
5.688,0.58,0.08,0.68
5.692,0.46,0.15,0.92
5.696,0.42,0.23,1.16
5.71,0.42,0.34,1.34
5.712,0.44,0.5,1.44
5.712,0.45,0.78,1.45
5.712,0.45,1.04,1.39
5.72,0.46,1.28,1.29
5.722,0.48,1.44,1.17
5.723,0.5,1.47,1.02
5.727,0.51,1.34,0.9
5.733,0.5,1.11,0.8
5.735,0.44,0.81,0.7
5.739,0.36,0.5,0.63
5.743,0.24,0.09,0.59
5.748,0.19,-0.17,0.61
5.751,0.21,-0.38,0.67
5.755,0.29,-0.52,0.75
5.759,0.4,-0.57,0.84
5.763,0.57,-0.51,0.92
5.768,0.68,-0.37,0.95
5.771,0.73,-0.14,0.94
5.775,0.74,0.24,0.89
5.779,0.7,0.55,0.84
5.784,0.65,0.82,0.79
5.787,0.56,1.04,0.75
5.791,0.47,1.2,0.72
5.795,0.39,1.28,0.7
5.804,0.29,1.27,0.7
5.805,0.26,1.17,0.69
5.807,0.23,1.02,0.69
5.811,0.19,0.83,0.69
5.829,0.16,0.64,0.69
5.831,0.14,0.39,0.68
5.832,0.13,0.21,0.67
5.832,0.13,0.05,0.64
5.832,0.11,-0.07,0.6
5.835,0.09,-0.15,0.53
5.84,0.08,-0.15,0.48
5.843,0.07,-0.13,0.42
5.849,0.07,-0.1,0.37
5.852,0.08,-0.06,0.31
5.856,0.1,-0.02,0.25
5.859,0.12,0,0.21
5.866,0.15,-0.01,0.18
5.868,0.18,-0.04,0.17
5.871,0.22,-0.1,0.16
5.876,0.24,-0.14,0.17
5.879,0.25,-0.19,0.18
5.883,0.24,-0.23,0.2
5.887,0.22,-0.27,0.21
5.891,0.18,-0.29,0.24
5.895,0.18,-0.3,0.26
5.9,0.19,-0.29,0.3
5.903,0.22,-0.29,0.33
5.907,0.25,-0.25,0.36
5.911,0.3,-0.15,0.38
5.915,0.32,-0.02,0.37
5.919,0.34,0.13,0.35
5.923,0.36,0.31,0.32
5.927,0.37,0.53,0.28
5.932,0.38,0.68,0.24
5.936,0.37,0.79,0.2
5.939,0.37,0.85,0.15
5.943,0.38,0.86,0.1
5.949,0.38,0.79,0.04
5.951,0.38,0.69,0
5.955,0.37,0.55,-0.04
5.959,0.35,0.39,-0.06
5.963,0.32,0.23,-0.08
5.971,0.25,0.01,-0.1
5.972,0.2,-0.13,-0.13
5.976,0.16,-0.24,-0.15
5.979,0.12,-0.32,-0.18
5.994,0.08,-0.35,-0.21
5.995,0.05,-0.34,-0.23
5.996,0.03,-0.29,-0.23
5.997,-0.01,-0.23,-0.23
6.001,-0.04,-0.15,-0.22
6.003,-0.09,-0.04,-0.2
6.008,-0.11,0.04,-0.18
6.011,-0.14,0.12,-0.15
6.016,-0.18,0.21,-0.11
6.019,-0.22,0.25,-0.09
6.023,-0.29,0.29,-0.06
6.027,-0.33,0.3,-0.03
6.034,-0.35,0.28,-0.02
6.035,-0.37,0.26,-0.01
6.039,-0.37,0.25,0
6.043,-0.38,0.27,0
6.049,-0.4,0.32,-0.01
6.051,-0.43,0.38,-0.01
6.055,-0.45,0.43,-0.02
6.059,-0.46,0.49,-0.05
6.063,-0.47,0.52,-0.07
6.067,-0.48,0.54,-0.1
6.072,-0.48,0.56,-0.14
6.075,-0.49,0.56,-0.19
6.079,-0.5,0.53,-0.22
6.087,-0.5,0.49,-0.23
6.088,-0.48,0.45,-0.24
6.092,-0.48,0.41,-0.25
6.096,-0.49,0.36,-0.24
6.113,-0.51,0.33,-0.23
6.117,-0.53,0.29,-0.24
6.118,-0.56,0.23,-0.25
6.118,-0.59,0.15,-0.27
6.119,-0.61,0.03,-0.31
6.119,-0.62,-0.05,-0.34
6.123,-0.64,-0.13,-0.37
6.127,-0.66,-0.2,-0.4
6.133,-0.67,-0.27,-0.43
6.136,-0.68,-0.3,-0.44
6.139,-0.69,-0.32,-0.44
6.144,-0.7,-0.31,-0.44
6.149,-0.7,-0.29,-0.43
6.152,-0.72,-0.24,-0.43
6.155,-0.74,-0.19,-0.44
6.159,-0.74,-0.14,-0.45
6.163,-0.73,-0.09,-0.46
6.168,-0.71,-0.04,-0.47
6.172,-0.7,0.02,-0.47
6.175,-0.71,0.06,-0.47
6.179,-0.72,0.07,-0.49
6.184,-0.72,0.04,-0.5
6.187,-0.7,-0.04,-0.53
6.191,-0.68,-0.11,-0.56
6.195,-0.68,-0.19,-0.59
6.201,-0.68,-0.26,-0.63
6.203,-0.69,-0.34,-0.67
6.207,-0.69,-0.43,-0.74
6.211,-0.69,-0.48,-0.78
6.221,-0.69,-0.53,-0.83
6.223,-0.68,-0.57,-0.87
6.223,-0.67,-0.59,-0.9
6.227,-0.66,-0.6,-0.94
6.247,-0.64,-0.58,-0.95
6.249,-0.62,-0.54,-0.97
6.25,-0.6,-0.48,-0.99
6.251,-0.58,-0.39,-1.02
6.251,-0.56,-0.32,-1.03
6.252,-0.56,-0.24,-1.04
6.256,-0.58,-0.16,-1.06
6.259,-0.6,-0.14,-1.08
6.263,-0.62,-0.16,-1.12
6.268,-0.61,-0.22,-1.17
6.271,-0.6,-0.3,-1.21
6.275,-0.59,-0.38,-1.26
6.279,-0.57,-0.49,-1.33
6.285,-0.56,-0.55,-1.4
6.287,-0.55,-0.6,-1.48
6.291,-0.54,-0.64,-1.56
6.295,-0.53,-0.67,-1.65
6.3,-0.5,-0.7,-1.75
6.304,-0.48,-0.72,-1.82
6.307,-0.48,-0.73,-1.89
6.311,-0.5,-0.74,-1.96
6.318,-0.52,-0.74,-2.06
6.32,-0.54,-0.76,-2.15
6.323,-0.56,-0.79,-2.26
6.327,-0.59,-0.81,-2.36
6.332,-0.62,-0.81,-2.45
6.336,-0.68,-0.81,-2.53
6.341,-0.74,-0.81,-2.56
6.343,-0.81,-0.81,-2.59
6.349,-0.88,-0.8,-2.63
6.351,-0.93,-0.79,-2.67
6.355,-0.99,-0.77,-2.75
6.359,-1.04,-0.75,-2.8
6.363,-1.1,-0.72,-2.83
6.368,-1.15,-0.7,-2.86
6.371,-1.21,-0.71,-2.88
6.375,-1.28,-0.78,-2.89
6.379,-1.31,-0.84,-2.91
6.389,-1.33,-0.91,-2.93
6.39,-1.34,-0.96,-2.96
6.392,-1.33,-0.98,-3.02
6.397,-1.32,-0.97,-3.05
6.415,-1.3,-0.95,-3.07
6.417,-1.26,-0.91,-3.06
6.418,-1.22,-0.86,-3.04
6.418,-1.15,-0.77,-2.96
6.418,-1.1,-0.69,-2.89
6.419,-1.04,-0.58,-2.8
6.424,-0.98,-0.47,-2.69
6.428,-0.92,-0.35,-2.56
6.432,-0.84,-0.2,-2.37
6.435,-0.76,-0.1,-2.21
6.44,-0.69,-0.02,-2.04
6.443,-0.62,0.05,-1.84
6.45,-0.54,0.14,-1.57
6.452,-0.47,0.19,-1.36
6.456,-0.38,0.21,-1.16
6.459,-0.29,0.19,-0.98
6.467,-0.19,0.15,-0.81
6.468,-0.06,0.09,-0.57
6.472,0.03,0.06,-0.36
6.475,0.13,0.05,-0.14
6.479,0.22,0.04,0.11
6.483,0.32,0.02,0.44
6.488,0.4,-0.01,0.68
6.492,0.48,-0.03,0.92
6.496,0.57,-0.05,1.15
6.504,0.66,-0.06,1.37
6.505,0.78,-0.05,1.65
6.508,0.86,-0.03,1.84
6.514,0.94,0,2.01
6.515,1.02,0.03,2.18
6.525,1.1,0.06,2.34
6.527,1.19,0.07,2.54
6.527,1.25,0.07,2.67
6.534,1.32,0.06,2.79
6.536,1.37,0.07,2.9
6.54,1.42,0.1,2.99
6.543,1.45,0.15,3.03
6.549,1.47,0.23,3.04
6.552,1.46,0.32,3.02
6.555,1.42,0.42,3
6.559,1.35,0.58,2.96
6.563,1.29,0.71,2.92
6.567,1.23,0.82,2.87
6.571,1.17,0.92,2.79
6.575,1.14,0.98,2.64
6.579,1.13,0.97,2.49
6.585,1.15,0.88,2.34
6.587,1.17,0.72,2.2
6.591,1.2,0.51,2.1
6.595,1.25,0.21,2.01
6.6,1.31,-0.01,1.94
6.604,1.38,-0.17,1.85
6.607,1.43,-0.25,1.75
6.611,1.45,-0.26,1.65
6.616,1.4,-0.16,1.54
6.619,1.32,-0.03,1.52
6.623,1.21,0.1,1.55
6.627,1.09,0.24,1.63
6.632,0.98,0.38,1.73
6.636,0.83,0.56,1.87
6.639,0.73,0.69,1.94
6.643,0.69,0.81,1.96
6.649,0.69,0.89,1.92
6.652,0.72,0.92,1.84
6.656,0.77,0.88,1.77
6.659,0.83,0.79,1.72
6.663,0.88,0.67,1.66
6.672,0.86,0.49,1.55
6.673,0.79,0.37,1.46
6.676,0.68,0.3,1.38
6.68,0.59,0.26,1.31
6.697,0.54,0.26,1.28
6.7,0.53,0.29,1.3
6.7,0.58,0.35,1.32
6.7,0.69,0.46,1.34
6.701,0.79,0.61,1.33
6.703,0.85,0.81,1.29
6.707,0.88,1.1,1.22
6.711,0.87,1.27,1.14
6.717,0.83,1.35,1.07
6.719,0.78,1.32,0.99
6.723,0.74,1.17,0.92
6.728,0.67,0.83,0.83
6.733,0.62,0.5,0.79
6.736,0.56,0.17,0.77
6.74,0.49,-0.16,0.78
6.743,0.37,-0.5,0.84
6.749,0.28,-0.66,0.9
6.751,0.21,-0.74,0.96
6.755,0.17,-0.73,1
6.759,0.14,-0.64,1.01
6.763,0.13,-0.42,0.97
6.768,0.13,-0.21,0.9
6.771,0.13,0.01,0.81
6.775,0.11,0.22,0.73
6.779,0.07,0.39,0.64
6.788,-0.01,0.52,0.55
6.789,-0.07,0.55,0.5
6.794,-0.11,0.52,0.48
6.795,-0.12,0.45,0.47
6.813,-0.1,0.33,0.47
6.815,-0.08,0.22,0.48
6.817,-0.05,0.12,0.48
6.818,-0.03,0.03,0.47
6.818,-0.03,-0.06,0.44
6.819,-0.04,-0.09,0.42
6.824,-0.04,-0.11,0.4
6.827,-0.03,-0.12,0.39
6.833,-0.01,-0.13,0.38
6.835,0,-0.13,0.36
6.84,-0.01,-0.11,0.34
6.843,-0.05,-0.06,0.31
6.849,-0.09,-0.01,0.29
6.852,-0.11,0.02,0.27
6.855,-0.08,0,0.24
6.859,-0.05,-0.06,0.21
6.863,-0.02,-0.12,0.18
6.867,-0.02,-0.17,0.14
6.873,-0.03,-0.19,0.13
6.875,-0.03,-0.22,0.12
6.879,-0.01,-0.26,0.13
6.885,0.05,-0.32,0.13
6.888,0.1,-0.38,0.13
6.891,0.15,-0.42,0.1
6.896,0.16,-0.39,0.09
6.899,0.16,-0.32,0.08
6.904,0.16,-0.24,0.09
6.907,0.17,-0.14,0.12
6.911,0.2,-0.02,0.17
6.916,0.23,0.07,0.22
6.92,0.26,0.16,0.24
6.923,0.26,0.24,0.25
6.927,0.24,0.31,0.24
6.939,0.23,0.37,0.21
6.94,0.23,0.39,0.19
6.94,0.25,0.38,0.17
6.943,0.28,0.36,0.17
6.948,0.3,0.33,0.16
6.966,0.31,0.33,0.15
6.968,0.31,0.33,0.12
6.968,0.32,0.35,0.09
6.968,0.34,0.38,0.05
6.97,0.37,0.42,-0.01
6.971,0.37,0.44,-0.04
6.975,0.35,0.44,-0.07
6.979,0.33,0.43,-0.1
6.984,0.31,0.39,-0.13
6.987,0.28,0.32,-0.17
6.991,0.25,0.26,-0.19
6.995,0.21,0.21,-0.21
7,0.16,0.16,-0.21
7.003,0.09,0.1,-0.2
7.007,0.03,0.05,-0.18
7.011,-0.02,0,-0.17
7.019,-0.1,-0.06,-0.16
7.022,-0.15,-0.1,-0.16
7.023,-0.2,-0.13,-0.15
7.027,-0.24,-0.15,-0.14
7.033,-0.25,-0.16,-0.13
7.036,-0.28,-0.16,-0.1
7.039,-0.33,-0.14,-0.07
7.043,-0.38,-0.11,-0.06
7.049,-0.42,-0.1,-0.06
7.052,-0.45,-0.09,-0.06
7.056,-0.47,-0.09,-0.08
7.059,-0.47,-0.08,-0.09
7.063,-0.48,-0.06,-0.1
7.067,-0.49,-0.02,-0.1
7.071,-0.5,0.02,-0.11
7.075,-0.51,0.07,-0.12
7.079,-0.51,0.14,-0.14
7.089,-0.51,0.18,-0.16
7.09,-0.5,0.2,-0.17
7.093,-0.5,0.22,-0.18
7.097,-0.5,0.22,-0.19
7.115,-0.5,0.22,-0.2
7.116,-0.49,0.22,-0.21
7.117,-0.46,0.23,-0.22
7.117,-0.44,0.26,-0.25
7.117,-0.43,0.29,-0.32
7.12,-0.45,0.3,-0.36
7.123,-0.47,0.28,-0.41
7.127,-0.49,0.21,-0.43
7.133,-0.49,0.11,-0.45
7.136,-0.5,-0.04,-0.44
7.139,-0.51,-0.15,-0.44
7.143,-0.54,-0.25,-0.44
7.15,-0.57,-0.32,-0.46
7.152,-0.61,-0.38,-0.48
7.155,-0.63,-0.39,-0.5
7.159,-0.64,-0.38,-0.52
7.163,-0.65,-0.35,-0.53
7.168,-0.65,-0.3,-0.54
7.171,-0.65,-0.22,-0.54
7.175,-0.64,-0.15,-0.54
7.179,-0.62,-0.08,-0.54
7.184,-0.6,-0.02,-0.53
7.187,-0.6,0.04,-0.53
7.191,-0.63,0.11,-0.52
7.195,-0.66,0.14,-0.54
7.205,-0.68,0.12,-0.58
7.207,-0.68,0.04,-0.63
7.207,-0.66,-0.12,-0.7
7.211,-0.64,-0.27,-0.73
7.231,-0.64,-0.41,-0.75
7.232,-0.65,-0.53,-0.78
7.233,-0.66,-0.63,-0.81
7.233,-0.65,-0.73,-0.87
7.233,-0.63,-0.76,-0.91
7.236,-0.6,-0.78,-0.95
7.24,-0.58,-0.75,-0.98
7.243,-0.55,-0.66,-1.02
7.247,-0.52,-0.55,-1.05
7.251,-0.5,-0.43,-1.08
7.255,-0.47,-0.31,-1.11
7.259,-0.44,-0.19,-1.14
7.264,-0.41,-0.07,-1.18
7.268,-0.4,-0.01,-1.21
7.272,-0.41,0.03,-1.22
7.275,-0.43,0.05,-1.23
7.279,-0.45,0.05,-1.24
7.283,-0.46,0.01,-1.3
7.288,-0.46,-0.05,-1.36
7.291,-0.45,-0.11,-1.44
7.295,-0.45,-0.2,-1.55
7.3,-0.46,-0.26,-1.62
7.303,-0.49,-0.29,-1.7
7.308,-0.51,-0.32,-1.78
7.311,-0.53,-0.33,-1.85
7.316,-0.53,-0.34,-1.92
7.32,-0.54,-0.35,-2.02
7.324,-0.55,-0.36,-2.11
7.327,-0.57,-0.37,-2.2
7.333,-0.59,-0.38,-2.29
7.335,-0.61,-0.39,-2.38
7.339,-0.64,-0.42,-2.48
7.343,-0.67,-0.45,-2.56
7.347,-0.7,-0.47,-2.64
7.352,-0.73,-0.49,-2.71
